Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
MBL Infrast,533152,Mumbai,31/12/2016,41454624,204.16
Mcleod Russel,532654,Mumbai,31/12/2016,109455735,1796.79
Mercator,526235,Mumbai,31/12/2016,244892073,1255
Merck,500126,Mumbai,31/12/2016,16599382,1635.52
Metalyst Forg.,513335,Mumbai,31/12/2016,36750000,220.13
Mindtree,532819,Mumbai,31/12/2016,167992150,7716.98
MMTC,513377,Mumbai,31/12/2016,1000000000,6420
MOIL,533286,Mumbai,31/12/2016,133187804,4751.47
Monsanto India,524084,Mumbai,31/12/2016,17262748,4036.46
Motherson Sumi,517334,Mumbai,31/12/2016,1403526327,47741.4
Motil.Oswal.Fin.,532892,Mumbai,31/12/2016,143525725,8415.63
MphasiS,526299,Mumbai,31/12/2016,210384405,11783.07
MRF,500290,Mumbai,31/12/2016,4241143,21649.21
MT Educare,534312,Mumbai,31/12/2016,39820784,506.52
Munjal Showa,520043,Mumbai,31/12/2016,39995000,768.7
Muthoot Finance,533398,Mumbai,31/12/2016,399455739,13721.3
Natco Pharma,524816,Mumbai,31/12/2016,174307800,12541.45
Natl. Aluminium,532234,Mumbai,31/12/2016,1932928884,13926.75
Nava Bharat Vent,513023,Mumbai,31/12/2016,178575482,2060.76
Navneet Educat.,508989,Mumbai,31/12/2016,238215000,3169.25
NBCC,534309,Mumbai,31/12/2016,600000000,16542
NCC,500294,Mumbai,31/12/2016,555931588,4730.98
NDTV,532529,Mumbai,31/12/2016,64471267,486.79
Netwrk.18 Media,532798,Mumbai,31/12/2016,1046948519,3899.88
NHPC Ltd,533098,Mumbai,31/12/2016,11070668496,34097.66
NIIT,500304,Mumbai,31/12/2016,165719886,1219.92
NIIT Tech.,532541,Mumbai,31/12/2016,61362174,2600.22
Nitin Fire Prot.,532854,Mumbai,31/12/2016,292269622,885.58
NLC India,513683,Mumbai,31/12/2016,1677709600,16240.23
NMDC,526371,Mumbai,31/12/2016,3163890474,46952.13
NOCIL,500730,Mumbai,31/12/2016,161926380,1213.79
Noida Tollbridg.,532481,Mumbai,31/12/2016,186195002,245.78
NTPC,532555,Mumbai,31/12/2016,8245464400,141780.68
O N G C,500312,Mumbai,31/12/2016,12833235180,257883.86
Oberoi Realty,533273,Mumbai,31/12/2016,339417110,11367.08
Oil India,533106,Mumbai,31/12/2016,601135955,27632.22
Omaxe,532880,Mumbai,31/12/2016,182900540,3101.98
Opto Circuits,532391,Mumbai,31/12/2016,242319407,250.8
Oracle Fin.Serv.,532466,Mumbai,31/12/2016,85052849,30780.9
Orient Cement,535754,Mumbai,31/12/2016,204868760,2920.85
Oriental Bank,500315,Mumbai,31/12/2016,346170415,4527.91
Orissa Minerals,590086,Mumbai,31/12/2016,6000000,1371.27
Oswal Green Tech,539290,Mumbai,31/12/2016,256809159,707.51
P & G Hygiene,500459,Mumbai,31/12/2016,32460736,22723.81
P I Inds.,523642,Mumbai,31/12/2016,137586624,12845.78
Page Industries,532827,Mumbai,31/12/2016,11153874,15875.15
Parsvnath Devl.,532780,Mumbai,31/12/2016,435181170,617.96
Patel Engg.,531120,Mumbai,31/12/2016,156994691,1292.85
Peninsula Land,503031,Mumbai,31/12/2016,279201220,441.14
Pennar Inds.,513228,Mumbai,31/12/2016,120349514,514.49
Persistent Sys,533179,Mumbai,31/12/2016,80000000,4786
Petronet LNG,532522,Mumbai,31/12/2016,750000044,29010
Pfizer,500680,Mumbai,31/12/2016,45747732,8140.81
Phoenix Mills,503100,Mumbai,31/12/2016,153066907,5326.73
Pidilite Inds.,500331,Mumbai,31/12/2016,512675330,34520.99
Piramal Enterp.,500302,Mumbai,31/12/2016,172563100,29196.32
PNC Infratech,539150,Mumbai,31/12/2016,256539165,2712.9
Power Fin.Corpn.,532810,Mumbai,31/12/2016,2640081408,35931.51
Power Grid Corpn,532898,Mumbai,31/12/2016,5231589648,105521.17
Praj Inds.,522205,Mumbai,31/12/2016,178817436,1494.02
Prakash Inds.,506022,Mumbai,31/12/2016,135601469,1069.52
